"Keyword","SERP Position","Avg. Search Volume (Last 12 months)","Estimated Visits","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"agencia seo santiago",2,90,14,"Spain","","",7,"","HOMEPAGES","navigational, commercial","Missing words in title","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,10,0,0,0,"","",10,10,10,"","","","",10,10,10,30,10,10,20,10,10,10,50,20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",140,90,140,210,110,90,20,20,110,20,40,40
"paginas web servicios",2,90,14,"Spain","6.68","43",13,"","CORPORATE_BLOG_POSTS","navigational, informational","Missing words in title","People Also Ask","","","10","10","10","0","0","10","10","10","10","10","10","0","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,40,20,10,30,20,20,20,"20","30",40,20,30,"","","","",30,30,20,40,70,40,40,50,40,90,70,50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",50,170,170,210,110,50,30,20,320,20,20,20
"servicio paginas web",2,90,14,"Spain","6.68","43",,"","","","","","","10","10","10","0","10","10","10","0","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,40,20,10,30,20,20,20,"20","30",40,20,30,"20","30","40","40",30,30,20,40,70,40,40,50,40,90,70,50,"30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",50,170,170,210,110,50,30,20,320,20,20,20
"empresa de paginas web",3,320,31,"Spain","11.63","36",18,"-32","LISTICLES, HOMEPAGES","","Missing words in title","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,"","",,,,"","","","",,,,,,,,,,,,,"","140","90","140","210","170","140","260","170","210","170","140","90","90","110","140","140","210","140","170","140","110","140","90","170","140","140","210","320","320","320","210","390","590","390","320","260","210","260","320","260","260","260",260,480,590,480,390,260,140,110,880,210,210,110
"servicio de red social",3,140,13,"Spain","6.33","27",20,"12","","","Missing words in title","","30","20","10","10","10","10","10","10","10","10","10","10","","","","","","","","","","20","40","50","40","20","40","30","20","10","30","50","140","140","170","70","170","140","170","170",90,170,110,140,110,90,110,70,70,50,50,50,70,40,"90","110",110,110,140,"140","140","140","140",140,90,110,90,90,140,110,140,90,90,110,140,"90","110","40","50","70","50","110","90","70","90","40","90","70","30","480","390","70","70","50","50","70","70","40","50","30","30","40","40","40","50","30","70","70","50","70","70","40","40","70","50","90","90","70",90,170,140,210,170,110,90,70,210,140,50,90
"servicio de redes sociales",3,140,13,"Spain","6.33","27",9,"17","","","Missing words in title","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,"","",110,110,140,"140","140","140","140",140,90,110,90,90,140,110,140,90,90,110,140,"90","110","40","50","70","50","110","90","70","90","40","90","70","30","480","390","70","70","50","50","70","70","40","50","30","30","40","40","40","50","30","70","70","50","70","","","","","","","90","70",90,170,140,210,170,110,90,70,210,140,50,90
"servicio pagina web",3,90,8,"Spain","6.68","43",,"-54","","","","","","10","0","0","0","10","10","10","10","10","10","10","10","","","","","","","","","","20","20","20","20","20","10","10","20","20","10","30","40","10","20","20","20","20","20",30,20,20,30,20,20,20,40,20,10,30,20,20,20,"20","30",40,20,320,"320","590","480","480",390,480,20,30,50,30,40,50,30,70,50,50,"30","20","20","20","10","20","20","30","40","30","30","30","50","20","10","30","40","50","30","40","50","40","20","50","40","30","40","50","50","70","70","40","40","70","50","50","30","30","30","30","30","50","50",50,170,170,210,110,50,30,20,320,20,20,20
"servicios de red social",3,140,13,"Spain","6.33","27",19,"33","CORPORATE_BLOG_POSTS","","Missing words in title","Featured Snippet","10","10","10","10","10","0","10","10","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,70,70,50,50,50,70,40,"90","110",110,110,140,"140","140","140","140",140,90,110,90,90,140,110,140,90,90,110,140,"90","110","40","50","70","50","110","90","70","90","40","90","70","30","480","390","70","70","","","","","","","","","","","","","","","","","","","","","","","","","70",90,170,140,210,170,110,90,70,210,140,50,90
"servicios de redes sociales",3,140,13,"Spain","6.33","27",,"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,"","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","70","70","50","50","70","70","40","50","30","30","40","40","","","","","","","","","","40","70","50","90","90","70",90,170,140,210,170,110,90,70,210,140,50,90
"agência marketing digital seo",4,110,7,"Spain","","11",,"-33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,"","",,,,"","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","40",70,90,210,210,140,50,40,50,390,30,10,20
